双哈希表,PR,RR,TP,F1,PR,RR,TP,F1
1,0.9627215,0.377137,19.85137,0.5419623,0.6267857,0.2278061,12.77152,0.3341639
2,0.947432,0.401547,18.434,0.564039,0.612648,0.229165,13.4375,0.33356
3,0.937081,0.413914,19.0449,0.574201,0.604826,0.229364,12.2273,0.332599
4,0.942663,0.418083,19.8509,0.579258,0.605421,0.232308,13.1525,0.335775
5,0.935725,0.383019,18.9519,0.543548,0.598033,0.228862,12.646,0.331038
三哈希表,PR,RR,TP,F1,,,,
1,0.957499,0.524897,13.1407,0.678076,,,,
2,0.961159,0.563945,13.6768,0.710824,,,,
3,0.950221,0.56677,13.603,0.710033,,,,
4,0.939893,0.554125,13.6592,0.697205,,,,
5,0.9397,0.546436,14.1302,0.691035,,,,
单哈希表,PR,RR,TP,F1,,,,
1,0.951586,0.213952,34.8964,0.349355,,,,
2,0.947737,0.219232,35.4775,0.356092,,,,
3,0.932953,0.219788,37.0562,0.355764,,,,
4,0.942846,0.220066,35.3112,0.356842,,,,
5,0.932326,0.220158,35.2309,0.356203,,,,
四哈希表,PR,RR,TP,F1,,,,
1,0.953313,0.63764,10.3631,0.764159,,,,
2,0.963114,0.689379,10.016,0.803574,,,,
3,0.947803,0.697253,10.8624,0.803448,,,,
4,0.955839,0.710825,10.6827,0.815322,,,,
5,0.93932,0.643893,10.6615,0.764043,,,,
五哈希表,PR,RR,TP,F1,,,,
1,0.955006,0.597943,8.41816,0.735426,,,,
2,0.954902,0.761082,8.30179,0.847046,,,,
3,0.940685,0.709621,8.25784,0.808977,,,,
4,0.94348,0.697439,7.96015,0.802013,,,,
5,0.948408,0.767196,8.27764,0.848232,,,,
六哈希表,PR,RR,TP,F1,,,,
1,0.949798,0.781741,6.51923,0.857614,,,,
2,0.947158,0.897633,6.66881,0.921731,,,,
3,0.954311,0.918153,6.63502,0.935883,,,,
4,0.947933,0.863542,6.4943,0.903772,,,,
5,0.955781,0.915096,6.76047,0.934996,,,,
